"","MDS1","MDS2","SampleID","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block","oldPlate","newPlate","Analysis","shannon","simpson","insimpson"
"24",0.265742143512652,-0.0619926098787264,"M1551P83","8_0196.root","8_0196","root","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_05","p200","M1551","Ecotypes",6.00822174042492,0.995462649587788,220.392940626461
"25",-0.223551272507877,-0.17277219522999,"M1961P1359","8_0203.leaf","8_0203","leaf","ecotypes","2008","2011","3","Sil","field","MAH.5.A","MAH","8_05","p214","M1961","Ecotypes",3.93603149318534,0.95890399335625,24.3332645108008
"26",0.303897895371652,-0.00158492629904363,"M1551P21","8_0203.root","8_0203","root","ecotypes","2008","2011","3","Sil","field","MAH.5.A","MAH","8_05","p200","M1551","Ecotypes",5.85069230042125,0.99445240501845,180.258292706242
"27",-0.293015123069781,-0.199964005242658,"M1690P1399","8_0204.leaf","8_0204","leaf","ecotypes","2008","2011","3","Sil","field","JAM.6.A","JAM","8_05","p215","M1690","Ecotypes",3.03693102132823,0.885900167684689,8.76425477328078
"28",0.298236294330573,0.0172005281358003,"M1555P214","8_0204.root","8_0204","root","ecotypes","2008","2011","3","Sil","field","JAM.6.A","JAM","8_05","p202","M1555","Ecotypes",5.80292512034469,0.992127516728695,127.024722128663
"29",-0.309623267098575,-0.190754648671613,"M1955P819","8_0206.leaf","8_0206","leaf","ecotypes","2008","2011","3","Sil","field","SILLow.7","SIL","8_05","p208","M1955","Ecotypes",2.97373141331234,0.868784874650127,7.62107262660146
"30",0.242777362882544,0.0140719043712406,"M1979P426","8_0206.root","8_0206","root","ecotypes","2008","2011","3","Sil","field","SILLow.7","SIL","8_05","p204","M1979","Ecotypes",5.86181814417923,0.991839557253026,122.542370678451
"31",-0.343844087702775,-0.16117073579028,"M1957P982","8_0243.leaf","8_0243","leaf","ecotypes","2008","2011","3","Sil","field","MIL.70.A","MIL","8_06","p210","M1957","Ecotypes",2.61181987722725,0.881883053452279,8.46618566791331
"32",0.193484927099543,-0.00788179984971562,"M1979P369","8_0243.root","8_0243","root","ecotypes","2008","2011","3","Sil","field","MIL.70.A","MIL","8_06","p204","M1979","Ecotypes",5.59660002062628,0.988006461322747,83.3782278033251
"33",-0.350247570182997,-0.257698915873398,"M1690P1397","8_0250.leaf","8_0250","leaf","ecotypes","2008","2011","3","Sil","field","JAM.19.B","JAM","8_06","p215","M1690","Ecotypes",2.22753401640546,0.767861177017122,4.30776716772513
"34",0.28826901044354,-0.0394416746480537,"M1978P318","8_0250.root","8_0250","root","ecotypes","2008","2011","3","Sil","field","JAM.19.B","JAM","8_06","p203","M1978","Ecotypes",5.70487750538857,0.992178426691245,127.851515356973
"35",-0.282653529875132,-0.255107593330753,"M1956P853","8_0258.leaf","8_0258","leaf","ecotypes","2008","2011","3","Sil","field","SILLow.1","SIL","8_06","p209","M1956","Ecotypes",3.51321180893921,0.928592413779206,14.0041143094792
"36",0.214668771644372,0.0123025551860614,"M1979P381","8_0258.root","8_0258","root","ecotypes","2008","2011","3","Sil","field","SILLow.1","SIL","8_06","p204","M1979","Ecotypes",5.52644725435969,0.990267712159314,102.750762859634
"37",-0.236320836064739,-0.201173706882469,"M1960P1219","8_0274.leaf","8_0274","leaf","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_06","p213","M1960","Ecotypes",4.05849921528461,0.95282714688903,21.1986329859589
"38",0.203383953149835,0.0359791777302642,"M1554P112","8_0274.root","8_0274","root","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_06","p201","M1554","Ecotypes",5.48706115401133,0.986914018376375,76.4176527800292
"39",-0.268123523368883,0.371417343786088,"M1980P533","8_0318.leaf","8_0318","leaf","ecotypes","2008","2011","3","Jam","field","JAM.40.A","JAM","8_07","p205","M1980","Ecotypes",1.44661902325638,0.475534581122374,1.90670340504057
"40",0.205561421548649,0.0645863232925611,"M1554P138","8_0318.root","8_0318","root","ecotypes","2008","2011","3","Jam","field","JAM.40.A","JAM","8_07","p201","M1554","Ecotypes",5.25697655654126,0.987338268064287,78.9781370413805
"41",-0.263869538316018,0.398039738224108,"M1982P711","8_0326.leaf","8_0326","leaf","ecotypes","2008","2011","3","Jam","field","MIL.60.A","MIL","8_07","p207","M1982","Ecotypes",1.47800164047924,0.529774903721836,2.12664106598097
"42",0.259411193004682,0.0928526006411955,"M1978P307","8_0326.root","8_0326","root","ecotypes","2008","2011","3","Jam","field","MIL.60.A","MIL","8_07","p203","M1978","Ecotypes",5.30923792635122,0.985920213482443,71.0238041431262
"43",-0.387361545124151,0.535076625496933,"M1982P696","8_0327.leaf","8_0327","leaf","ecotypes","2008","2011","3","Jam","field","PAR.22.A2","PAR","8_07","p207","M1982","Ecotypes",0.625616468751726,0.356992324262521,1.55519138842795
"44",0.264816793841777,0.0963275435834544,"M1555P231","8_0327.root","8_0327","root","ecotypes","2008","2011","3","Jam","field","PAR.22.A2","PAR","8_07","p202","M1555","Ecotypes",5.14214547272482,0.983172136128997,59.4252489600403
"45",-0.35179916965925,0.526454313131472,"M1980P520","8_0328.leaf","8_0328","leaf","ecotypes","2008","2011","3","Jam","field","MAH.37.A","MAH","8_07","p205","M1980","Ecotypes",0.539528740039942,0.294167839540283,1.41676740735175
"46",0.314970481284629,0.118980660953172,"M1555P190","8_0328.root","8_0328","root","ecotypes","2008","2011","3","Jam","field","MAH.37.A","MAH","8_07","p202","M1555","Ecotypes",5.28812758018206,0.987139401023078,77.7568760051132
"47",-0.254614756782123,-0.158613707702481,"M1955P739","8_0392.leaf","8_0392","leaf","ecotypes","2008","2011","3","Mah","field","JAM.7.B","JAM","8_09","p208","M1955","Ecotypes",3.77768107022698,0.950899462369583,20.3663757722383
"48",0.313251436707586,0.0263060572370528,"M1981P578","8_0392.root","8_0392","root","ecotypes","2008","2011","3","Mah","field","JAM.7.B","JAM","8_09","p206","M1981","Ecotypes",5.48865078398877,0.988523515629889,87.1346980268934
"49",-0.19191339154221,-0.206431726854037,"M1980P506","8_0393.leaf","8_0393","leaf","ecotypes","2008","2011","3","Mah","field","PAR.13.A","PAR","8_09","p205","M1980","Ecotypes",4.0429365668262,0.947942442044841,19.2095065400758
"50",0.268735254817697,-0.00448505883726788,"M1981P631","8_0393.root","8_0393","root","ecotypes","2008","2011","3","Mah","field","PAR.13.A","PAR","8_09","p206","M1981","Ecotypes",5.67696258456342,0.991750464818564,121.218950887118
