"","SampleID","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block","oldPlate","newPlate","Analysis","alpha"
"33","M1690P1397","8_0250.leaf","8_0250","leaf","ecotypes","2008","2011","3","Sil","field","JAM.19.B","JAM","8_06","p215","M1690","Ecotypes",2.13728682231125
"34","M1978P318","8_0250.root","8_0250","root","ecotypes","2008","2011","3","Sil","field","JAM.19.B","JAM","8_06","p203","M1978","Ecotypes",5.68096673925008
"35","M1956P853","8_0258.leaf","8_0258","leaf","ecotypes","2008","2011","3","Sil","field","SILLow.1","SIL","8_06","p209","M1956","Ecotypes",3.42920516283243
"36","M1979P381","8_0258.root","8_0258","root","ecotypes","2008","2011","3","Sil","field","SILLow.1","SIL","8_06","p204","M1979","Ecotypes",5.57909228356212
"37","M1960P1219","8_0274.leaf","8_0274","leaf","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_06","p213","M1960","Ecotypes",4.07786049977133
"38","M1554P112","8_0274.root","8_0274","root","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_06","p201","M1554","Ecotypes",5.61973200613956
"39","M1980P533","8_0318.leaf","8_0318","leaf","ecotypes","2008","2011","3","Jam","field","JAM.40.A","JAM","8_07","p205","M1980","Ecotypes",1.41463453516973
"40","M1554P138","8_0318.root","8_0318","root","ecotypes","2008","2011","3","Jam","field","JAM.40.A","JAM","8_07","p201","M1554","Ecotypes",5.32891895420582
"41","M1982P711","8_0326.leaf","8_0326","leaf","ecotypes","2008","2011","3","Jam","field","MIL.60.A","MIL","8_07","p207","M1982","Ecotypes",1.56971986774031
"42","M1978P307","8_0326.root","8_0326","root","ecotypes","2008","2011","3","Jam","field","MIL.60.A","MIL","8_07","p203","M1978","Ecotypes",5.2777238337824
"43","M1982P696","8_0327.leaf","8_0327","leaf","ecotypes","2008","2011","3","Jam","field","PAR.22.A2","PAR","8_07","p207","M1982","Ecotypes",0.629913218022533
"44","M1555P231","8_0327.root","8_0327","root","ecotypes","2008","2011","3","Jam","field","PAR.22.A2","PAR","8_07","p202","M1555","Ecotypes",5.04083816344888
"45","M1980P520","8_0328.leaf","8_0328","leaf","ecotypes","2008","2011","3","Jam","field","MAH.37.A","MAH","8_07","p205","M1980","Ecotypes",0.514560980857455
"46","M1555P190","8_0328.root","8_0328","root","ecotypes","2008","2011","3","Jam","field","MAH.37.A","MAH","8_07","p202","M1555","Ecotypes",5.30805643047759
"47","M1955P739","8_0392.leaf","8_0392","leaf","ecotypes","2008","2011","3","Mah","field","JAM.7.B","JAM","8_09","p208","M1955","Ecotypes",3.79948522576482
