"","SampleID","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block","oldPlate","newPlate","Analysis","alpha"
"160","M1981P591","8_1322.root","8_1322","root","ecotypes","2008","2011","3","Mah","field","JAM.7.B","JAM","8_28","p206","M1981","Ecotypes",5.11328966026349
"161","M1979P442","8_1324.leaf","8_1324","leaf","ecotypes","2008","2011","3","Mah","field","SILLow.3","SIL","8_28","p204","M1979","Ecotypes",3.1846735647657
"162","M1977P1706","8_1324.root","8_1324","root","ecotypes","2008","2011","3","Mah","field","SILLow.3","SIL","8_28","p217","M1977","Ecotypes",5.48581094755417
"163","M1981P636","8_1333.leaf","8_1333","leaf","ecotypes","2008","2011","3","Mah","field","MAH.16.A","MAH","8_28","p206","M1981","Ecotypes",4.53391172332373
"164","M1980P534","8_1333.root","8_1333","root","ecotypes","2008","2011","3","Mah","field","MAH.16.A","MAH","8_28","p205","M1980","Ecotypes",5.67075075260619
"165","M1981P555","8_1335.leaf","8_1335","leaf","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_28","p206","M1981","Ecotypes",2.72881354701406
"166","M1981P594","8_1335.root","8_1335","root","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_28","p206","M1981","Ecotypes",5.72525202240194
"167","M1980P541","8_1337.leaf","8_1337","leaf","ecotypes","2008","2011","3","Mah","field","MIL.32.A1","MIL","8_28","p205","M1980","Ecotypes",3.37835168999958
"168","M1980P519","8_1337.root","8_1337","root","ecotypes","2008","2011","3","Mah","field","MIL.32.A1","MIL","8_28","p205","M1980","Ecotypes",5.41596508977555
"169","M1979P440","8_1368.leaf","8_1368","leaf","ecotypes","2008","2011","3","Jam","field","JAM.15.A","JAM","8_29","p204","M1979","Ecotypes",0.571426528646006
"170","M1554P103","8_1368.root","8_1368","root","ecotypes","2008","2011","3","Jam","field","JAM.15.A","JAM","8_29","p201","M1554","Ecotypes",4.78726742272827
"171","M1980P484","8_1378.leaf","8_1378","leaf","ecotypes","2008","2011","3","Jam","field","MAH.16.A","MAH","8_29","p205","M1980","Ecotypes",2.94714620668958
"172","M1555P216","8_1378.root","8_1378","root","ecotypes","2008","2011","3","Jam","field","MAH.16.A","MAH","8_29","p202","M1555","Ecotypes",4.81469438057232
"173","M1981P639","8_1382.leaf","8_1382","leaf","ecotypes","2008","2011","3","Jam","field","MIL.70.A","MIL","8_29","p206","M1981","Ecotypes",1.94384609269002
"174","M1551P81","8_1382.root","8_1382","root","ecotypes","2008","2011","3","Jam","field","MIL.70.A","MIL","8_29","p200","M1551","Ecotypes",4.9820477593736
"175","M1981P626","8_1388.leaf","8_1388","leaf","ecotypes","2008","2011","3","Jam","field","SILLow.7","SIL","8_29","p206","M1981","Ecotypes",3.31493492880326
"176","M1554P179","8_1388.root","8_1388","root","ecotypes","2008","2011","3","Jam","field","SILLow.7","SIL","8_29","p201","M1554","Ecotypes",5.23019964491751
"177","M1981P593","8_1389.leaf","8_1389","leaf","ecotypes","2008","2011","3","Jam","field","PAR.9.A1","PAR","8_29","p206","M1981","Ecotypes",0.753959210346203
"178","M1555P272","8_1389.root","8_1389","root","ecotypes","2008","2011","3","Jam","field","PAR.9.A1","PAR","8_29","p202","M1555","Ecotypes",5.38393575084194
"179","M1955P798","9_0096.leaf","9_0096","leaf","ecotypes","2009","2012","3","Mah","field","PAR.9.A1","PAR","9_02","p208","M1955","Ecotypes",4.47762212258512
"180","M1956P901","9_0096.root","9_0096","root","ecotypes","2009","2012","3","Mah","field","PAR.9.A1","PAR","9_02","p209","M1956","Ecotypes",5.41991853461149
"181","M1555P252","9_0159.leaf","9_0159","leaf","ecotypes","2009","2012","3","Jam","field","PAR.10.A6","PAR","9_04","p202","M1555","Ecotypes",0.558043960943967
"182","M1979P457","9_0159.root","9_0159","root","ecotypes","2009","2012","3","Jam","field","PAR.10.A6","PAR","9_04","p204","M1979","Ecotypes",5.45880102517162
"183","M1981P622","9_0171.leaf","9_0171","leaf","ecotypes","2009","2012","3","Jam","field","SILLow.3","SIL","9_04","p206","M1981","Ecotypes",2.02282650611877
"184","M1959P1135","9_0171.root","9_0171","root","ecotypes","2009","2012","3","Jam","field","SILLow.3","SIL","9_04","p212","M1959","Ecotypes",4.80376222842308
"185","M1554P127","9_0200.leaf","9_0200","leaf","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_05","p201","M1554","Ecotypes",4.24250566508891
"186","M1982P689","9_0200.root","9_0200","root","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_05","p207","M1982","Ecotypes",5.52889292834188
"187","M1979P406","9_0205.leaf","9_0205","leaf","ecotypes","2009","2012","3","Sil","field","JAM.22.A","JAM","9_05","p204","M1979","Ecotypes",3.93454274695258
"188","M1960P1216","9_0205.root","9_0205","root","ecotypes","2009","2012","3","Sil","field","JAM.22.A","JAM","9_05","p213","M1960","Ecotypes",5.57059245770113
"189","M1555P241","9_0209.leaf","9_0209","leaf","ecotypes","2009","2012","3","Sil","field","MAH.48.A","MAH","9_05","p202","M1555","Ecotypes",3.73833013138046
"190","M1961P1372","9_0209.root","9_0209","root","ecotypes","2009","2012","3","Sil","field","MAH.48.A","MAH","9_05","p214","M1961","Ecotypes",5.9468990992883
"191","M1551P1","9_0217.leaf","9_0217","leaf","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_05","p200","M1551","Ecotypes",3.66914995967226
"192","M1957P995","9_0217.root","9_0217","root","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_05","p210","M1957","Ecotypes",5.7283736224288
"193","M1554P177","9_0226.leaf","9_0226","leaf","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_05","p201","M1554","Ecotypes",4.19391769324437
"194","M1982P652","9_0226.root","9_0226","root","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_05","p207","M1982","Ecotypes",5.89210887205803
"195","M1977P1701","9_0229.leaf","9_0229","leaf","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_05","p217","M1977","Ecotypes",3.44278425964979
"196","M1981P572","9_0229.root","9_0229","root","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_05","p206","M1981","Ecotypes",5.96605870902937
"197","M1554P176","9_0244.leaf","9_0244","leaf","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_06","p201","M1554","Ecotypes",4.08206174946921
"198","M1955P818","9_0244.root","9_0244","root","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_06","p208","M1955","Ecotypes",5.56259467963122
"199","M1956P911","9_0264.leaf","9_0264","leaf","ecotypes","2009","2012","3","Sil","field","MAH.8.A1","MAH","9_06","p209","M1956","Ecotypes",3.59685377297009
"200","M1980P529","9_0264.root","9_0264","root","ecotypes","2009","2012","3","Sil","field","MAH.8.A1","MAH","9_06","p205","M1980","Ecotypes",5.82729881975857
"201","M1979P385","9_0281.leaf","9_0281","leaf","ecotypes","2009","2012","3","Sil","field","MAH.48.A","MAH","9_06","p204","M1979","Ecotypes",3.58340054885628
"202","M1955P803","9_0281.root","9_0281","root","ecotypes","2009","2012","3","Sil","field","MAH.48.A","MAH","9_06","p208","M1955","Ecotypes",5.85865235147948
"203","M1551P15","9_0283.leaf","9_0283","leaf","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_06","p200","M1551","Ecotypes",3.84337198184404
"204","M1979P459","9_0283.root","9_0283","root","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_06","p204","M1979","Ecotypes",6.02866342748909
"205","M1955P781","9_0287.leaf","9_0287","leaf","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_06","p208","M1955","Ecotypes",3.35196653798942
"206","M1982P731","9_0287.root","9_0287","root","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_06","p207","M1982","Ecotypes",4.84230336347621
"207","M1555P264","9_0330.leaf","9_0330","leaf","ecotypes","2009","2012","3","Jam","field","MAH.8.A1","MAH","9_07","p202","M1555","Ecotypes",2.44720077886435
"208","M1960P1220","9_0330.root","9_0330","root","ecotypes","2009","2012","3","Jam","field","MAH.8.A1","MAH","9_07","p213","M1960","Ecotypes",5.29111194811342
"209","M1554P100","9_0334.leaf","9_0334","leaf","ecotypes","2009","2012","3","Jam","field","MAH.48.A","MAH","9_07","p201","M1554","Ecotypes",2.00303025059324
"210","M1956P857","9_0334.root","9_0334","root","ecotypes","2009","2012","3","Jam","field","MAH.48.A","MAH","9_07","p209","M1956","Ecotypes",4.85625672557699
"211","M1554P149","9_0388.leaf","9_0388","leaf","ecotypes","2009","2012","3","Mah","field","MAH.48.A","MAH","9_09","p201","M1554","Ecotypes",3.85329047064457
"212","M1982P688","9_0388.root","9_0388","root","ecotypes","2009","2012","3","Mah","field","MAH.48.A","MAH","9_09","p207","M1982","Ecotypes",5.60913452478865
"213","M1978P335","9_0411.leaf","9_0411","leaf","ecotypes","2009","2012","3","Mah","field","PAR.9.A1","PAR","9_09","p203","M1978","Ecotypes",3.64711405094736
"214","M1981P602","9_0411.root","9_0411","root","ecotypes","2009","2012","3","Mah","field","PAR.9.A1","PAR","9_09","p206","M1981","Ecotypes",5.60930236496476
"215","M1982P671","9_0413.leaf","9_0413","leaf","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_09","p207","M1982","Ecotypes",3.18826365742184
"216","M1982P736","9_0413.root","9_0413","root","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_09","p207","M1982","Ecotypes",5.83955310839504
"217","M1978P352","9_0428.leaf","9_0428","leaf","ecotypes","2009","2012","3","Mah","field","SILLow.3","SIL","9_09","p203","M1978","Ecotypes",4.21487860636143
"218","M1981P635","9_0428.root","9_0428","root","ecotypes","2009","2012","3","Mah","field","SILLow.3","SIL","9_09","p206","M1981","Ecotypes",5.58524778903469
"219","M1955P737","9_0537.leaf","9_0537","leaf","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_12","p208","M1955","Ecotypes",2.97797524832435
"220","M1981P579","9_0537.root","9_0537","root","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_12","p206","M1981","Ecotypes",5.61452246644681
"221","M1977P1700","9_0553.leaf","9_0553","leaf","ecotypes","2009","2012","3","Mah","field","JAM.22.A","JAM","9_12","p217","M1977","Ecotypes",5.15705549156086
"222","M1958P1101","9_0553.root","9_0553","root","ecotypes","2009","2012","3","Mah","field","JAM.22.A","JAM","9_12","p211","M1958","Ecotypes",5.78909100860983
"223","M1978P289","9_0562.leaf","9_0562","leaf","ecotypes","2009","2012","3","Mah","field","JAM.17.A","JAM","9_12","p203","M1978","Ecotypes",3.64563664639409
"224","M1955P787","9_0562.root","9_0562","root","ecotypes","2009","2012","3","Mah","field","JAM.17.A","JAM","9_12","p208","M1955","Ecotypes",5.73968348778612
"225","M1551P89","9_0568.leaf","9_0568","leaf","ecotypes","2009","2012","3","Mah","field","MIL.32.A1","MIL","9_12","p200","M1551","Ecotypes",4.96471682593969
"226","M1982P680","9_0568.root","9_0568","root","ecotypes","2009","2012","3","Mah","field","MIL.32.A1","MIL","9_12","p207","M1982","Ecotypes",4.94806987042222
"227","M1555P209","9_0599.leaf","9_0599","leaf","ecotypes","2009","2012","3","Jam","field","PAR.9.A1","PAR","9_13","p202","M1555","Ecotypes",0.493201429773695
"228","M1961P1334","9_0599.root","9_0599","root","ecotypes","2009","2012","3","Jam","field","PAR.9.A1","PAR","9_13","p214","M1961","Ecotypes",5.5444747939096
"229","M1979P444","9_0625.leaf","9_0625","leaf","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_14","p204","M1979","Ecotypes",4.30409934600836
"230","M1958P1076","9_0625.root","9_0625","root","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_14","p211","M1958","Ecotypes",5.95136956993504
"231","M1979P392","9_0671.leaf","9_0671","leaf","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_14","p204","M1979","Ecotypes",4.26477169468348
"232","M1981P568","9_0671.root","9_0671","root","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_14","p206","M1981","Ecotypes",5.85072453234069
"233","M1979P372","9_0776.leaf","9_0776","leaf","ecotypes","2009","2012","3","Jam","field","JAM.22.A","JAM","9_17","p204","M1979","Ecotypes",2.54551062215491
"234","M1992P1573","9_0776.root","9_0776","root","ecotypes","2009","2012","3","Jam","field","JAM.22.A","JAM","9_17","p217","M1992","Ecotypes",5.10985699816257
"235","M1555P206","9_0789.leaf","9_0789","leaf","ecotypes","2009","2012","3","Jam","field","PAR.9.A1","PAR","9_17","p202","M1555","Ecotypes",1.32567916075952
"236","M1979P450","9_0789.root","9_0789","root","ecotypes","2009","2012","3","Jam","field","PAR.9.A1","PAR","9_17","p204","M1979","Ecotypes",4.95554053371204
"237","M1982P718","9_0799.leaf","9_0799","leaf","ecotypes","2009","2012","3","Jam","field","SILLow.3","SIL","9_17","p207","M1982","Ecotypes",4.60100202900943
"238","M1959P1185","9_0799.root","9_0799","root","ecotypes","2009","2012","3","Jam","field","SILLow.3","SIL","9_17","p212","M1959","Ecotypes",5.05122389567567
"239","M1960P1202","9_0802.leaf","9_0802","leaf","ecotypes","2009","2012","3","Jam","field","PAR.10.A6","PAR","9_17","p213","M1960","Ecotypes",1.69602920407803
"240","M1960P1256","9_0802.root","9_0802","root","ecotypes","2009","2012","3","Jam","field","PAR.10.A6","PAR","9_17","p213","M1960","Ecotypes",5.27438058996995
"241","M1554P152","9_0826.leaf","9_0826","leaf","ecotypes","2009","2012","3","Mah","field","JAM.22.A","JAM","9_18","p201","M1554","Ecotypes",2.51291960679788
"242","M1961P1297","9_0826.root","9_0826","root","ecotypes","2009","2012","3","Mah","field","JAM.22.A","JAM","9_18","p214","M1961","Ecotypes",5.39436829340215
"243","M1551P74","9_0849.leaf","9_0849","leaf","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_18","p200","M1551","Ecotypes",3.90602101393034
"244","M1958P1091","9_0849.root","9_0849","root","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_18","p211","M1958","Ecotypes",5.42195372898658
"245","M1982P723","9_0868.leaf","9_0868","leaf","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_19","p207","M1982","Ecotypes",3.62637004876693
"246","M1981P610","9_0868.root","9_0868","root","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_19","p206","M1981","Ecotypes",5.96985222277399
"247","M1555P185","9_0873.leaf","9_0873","leaf","ecotypes","2009","2012","3","Sil","field","MIL.32.A1","MIL","9_19","p202","M1555","Ecotypes",3.76375254666888
"248","M1982P650","9_0873.root","9_0873","root","ecotypes","2009","2012","3","Sil","field","MIL.32.A1","MIL","9_19","p207","M1982","Ecotypes",5.8833944791645
"249","M1690P1396","9_0874.leaf","9_0874","leaf","ecotypes","2009","2012","3","Sil","field","MAH.48.A","MAH","9_19","p215","M1690","Ecotypes",3.40457868656778
"250","M1982P657","9_0874.root","9_0874","root","ecotypes","2009","2012","3","Sil","field","MAH.48.A","MAH","9_19","p207","M1982","Ecotypes",5.80109331055478
"251","M1979P401","9_0876.leaf","9_0876","leaf","ecotypes","2009","2012","3","Sil","field","MAH.8.A1","MAH","9_19","p204","M1979","Ecotypes",4.45768489612816
"252","M1960P1266","9_0876.root","9_0876","root","ecotypes","2009","2012","3","Sil","field","MAH.8.A1","MAH","9_19","p213","M1960","Ecotypes",5.08766430101134
"253","M1979P391","9_0881.leaf","9_0881","leaf","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_19","p204","M1979","Ecotypes",3.80150921228155
"254","M1956P863","9_0881.root","9_0881","root","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_19","p209","M1956","Ecotypes",5.55751857203776
"255","M1551P39","9_0908.leaf","9_0908","leaf","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_19","p200","M1551","Ecotypes",3.75184752095811
"256","M1980P518","9_0908.root","9_0908","root","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_19","p205","M1980","Ecotypes",6.03850618038558
"257","M1958P1046","9_0964.leaf","9_0964","leaf","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_21","p211","M1958","Ecotypes",3.92078634011295
"258","M1982P669","9_0964.root","9_0964","root","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_21","p207","M1982","Ecotypes",4.98613504300613
"259","M1978P357","9_0993.leaf","9_0993","leaf","ecotypes","2009","2012","3","Mah","field","MIL.32.A1","MIL","9_21","p203","M1978","Ecotypes",3.05326706304589
"260","M1982P660","9_0993.root","9_0993","root","ecotypes","2009","2012","3","Mah","field","MIL.32.A1","MIL","9_21","p207","M1982","Ecotypes",5.50600011724273
"261","M1551P9","9_1006.leaf","9_1006","leaf","ecotypes","2009","2012","3","Mah","field","SILLow.3","SIL","9_21","p200","M1551","Ecotypes",4.52838808058146
"262","M1955P755","9_1006.root","9_1006","root","ecotypes","2009","2012","3","Mah","field","SILLow.3","SIL","9_21","p208","M1955","Ecotypes",5.55344743238069
"263","M1551P18","9_1014.leaf","9_1014","leaf","ecotypes","2009","2012","3","Jam","field","JAM.17.A","JAM","9_22","p200","M1551","Ecotypes",0.669057648409113
"264","M1982P722","9_1014.root","9_1014","root","ecotypes","2009","2012","3","Jam","field","JAM.17.A","JAM","9_22","p207","M1982","Ecotypes",5.22361324206081
"265","M1978P363","9_1027.leaf","9_1027","leaf","ecotypes","2009","2012","3","Jam","field","MAH.8.A1","MAH","9_22","p203","M1978","Ecotypes",0.664825726110669
"266","M1980P472","9_1027.root","9_1027","root","ecotypes","2009","2012","3","Jam","field","MAH.8.A1","MAH","9_22","p205","M1980","Ecotypes",5.03067110268839
"267","M1554P174","9_1077.leaf","9_1077","leaf","ecotypes","2009","2012","3","Sil","field","JAM.22.A","JAM","9_23","p201","M1554","Ecotypes",2.9988469222531
"268","M1982P678","9_1077.root","9_1077","root","ecotypes","2009","2012","3","Sil","field","JAM.22.A","JAM","9_23","p207","M1982","Ecotypes",5.86440503594717
"269","M1978P326","9_1081.leaf","9_1081","leaf","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_23","p203","M1978","Ecotypes",4.16476341392438
"270","M1960P1253","9_1081.root","9_1081","root","ecotypes","2009","2012","3","Sil","field","PAR.10.A6","PAR","9_23","p213","M1960","Ecotypes",5.92935781226846
"271","M1979P403","9_1104.leaf","9_1104","leaf","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_23","p204","M1979","Ecotypes",4.03282184254963
"272","M1690P1411","9_1104.root","9_1104","root","ecotypes","2009","2012","3","Sil","field","PAR.9.A1","PAR","9_23","p215","M1690","Ecotypes",6.0531302452033
"273","M1981P570","9_1206.leaf","9_1206","leaf","ecotypes","2009","2012","3","Sil","field","MIL.32.A1","MIL","9_26","p206","M1981","Ecotypes",2.78205070044062
"274","M1959P1132","9_1206.root","9_1206","root","ecotypes","2009","2012","3","Sil","field","MIL.32.A1","MIL","9_26","p212","M1959","Ecotypes",5.67555117523413
"275","M1980P542","9_1216.leaf","9_1216","leaf","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_26","p205","M1980","Ecotypes",3.74407451336914
"276","M1981P628","9_1216.root","9_1216","root","ecotypes","2009","2012","3","Sil","field","SILLow.3","SIL","9_26","p206","M1981","Ecotypes",5.79602506911221
"277","M1979P376","9_1232.leaf","9_1232","leaf","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_26","p204","M1979","Ecotypes",3.34861649624929
"278","M1961P1371","9_1232.root","9_1232","root","ecotypes","2009","2012","3","Sil","field","JAM.17.A","JAM","9_26","p214","M1961","Ecotypes",5.90278058128124
"279","M1554P169","9_1307.leaf","9_1307","leaf","ecotypes","2009","2012","3","Mah","field","JAM.22.A","JAM","9_28","p201","M1554","Ecotypes",4.55458224824086
"280","M1957P922","9_1307.root","9_1307","root","ecotypes","2009","2012","3","Mah","field","JAM.22.A","JAM","9_28","p210","M1957","Ecotypes",5.57804910525167
"281","M1981P617","9_1309.leaf","9_1309","leaf","ecotypes","2009","2012","3","Mah","field","JAM.17.A","JAM","9_28","p206","M1981","Ecotypes",4.16247020621553
"282","M1981P558","9_1309.root","9_1309","root","ecotypes","2009","2012","3","Mah","field","JAM.17.A","JAM","9_28","p206","M1981","Ecotypes",5.67200766239549
"283","M1982P719","9_1319.leaf","9_1319","leaf","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_28","p207","M1982","Ecotypes",4.46074269084076
"284","M1961P1323","9_1319.root","9_1319","root","ecotypes","2009","2012","3","Mah","field","PAR.10.A6","PAR","9_28","p214","M1961","Ecotypes",5.73355999047097
"285","M1554P156","9_1324.leaf","9_1324","leaf","ecotypes","2009","2012","3","Mah","field","SILLow.3","SIL","9_28","p201","M1554","Ecotypes",3.74167815911177
"286","M1979P445","9_1324.root","9_1324","root","ecotypes","2009","2012","3","Mah","field","SILLow.3","SIL","9_28","p204","M1979","Ecotypes",5.76455256601183
"287","M1555P251","9_1339.leaf","9_1339","leaf","ecotypes","2009","2012","3","Mah","field","MAH.8.A1","MAH","9_28","p202","M1555","Ecotypes",3.53357282145134
"288","M1959P1181","9_1339.root","9_1339","root","ecotypes","2009","2012","3","Mah","field","MAH.8.A1","MAH","9_28","p212","M1959","Ecotypes",5.61667413151043
"289","M1554P181","9_1364.leaf","9_1364","leaf","ecotypes","2009","2012","3","Jam","field","MIL.32.A1","MIL","9_29","p201","M1554","Ecotypes",2.29886675152697
"290","M1955P747","9_1364.root","9_1364","root","ecotypes","2009","2012","3","Jam","field","MIL.32.A1","MIL","9_29","p208","M1955","Ecotypes",5.02828900665274
"291","M1978P342","9_1370.leaf","9_1370","leaf","ecotypes","2009","2012","3","Jam","field","JAM.22.A","JAM","9_29","p203","M1978","Ecotypes",0.436407120113344
"292","M1955P778","9_1370.root","9_1370","root","ecotypes","2009","2012","3","Jam","field","JAM.22.A","JAM","9_29","p208","M1955","Ecotypes",5.31586038728485
